Label,prob,chunk_id
Diodorus,0.000685871,DiodorusSic_Book11-1
Diodorus,0.000685871,DiodorusSic_Book11-10
Diodorus,0.000685871,DiodorusSic_Book11-100
Diodorus,0.000685871,DiodorusSic_Book11-101
Diodorus,0.000685871,DiodorusSic_Book11-102
Diodorus,0.000685871,DiodorusSic_Book11-103
Diodorus,0.000685871,DiodorusSic_Book11-104
Diodorus,0.000685871,DiodorusSic_Book11-105
Diodorus,0.000685871,DiodorusSic_Book11-106
Diodorus,0.000685871,DiodorusSic_Book11-107
Diodorus,0.000685871,DiodorusSic_Book11-108
Diodorus,0.000685871,DiodorusSic_Book11-109
Diodorus,0.000685871,DiodorusSic_Book11-11
Diodorus,0.000685871,DiodorusSic_Book11-110
Diodorus,0.000685871,DiodorusSic_Book11-111
Diodorus,0.000685871,DiodorusSic_Book11-112
Diodorus,0.000685871,DiodorusSic_Book11-113
Diodorus,0.000685871,DiodorusSic_Book11-114
Diodorus,0.000685871,DiodorusSic_Book11-115
Diodorus,0.000685871,DiodorusSic_Book11-116
Diodorus,0.000685871,DiodorusSic_Book11-117
Diodorus,0.000685871,DiodorusSic_Book11-118
Diodorus,0.000685871,DiodorusSic_Book11-119
Diodorus,0.000685871,DiodorusSic_Book11-12
Diodorus,0.000685871,DiodorusSic_Book11-120
Diodorus,0.000685871,DiodorusSic_Book11-121
Diodorus,0.000685871,DiodorusSic_Book11-122
Diodorus,0.000685871,DiodorusSic_Book11-123
Diodorus,0.000685871,DiodorusSic_Book11-124
Diodorus,0.000685871,DiodorusSic_Book11-125
Diodorus,0.000685871,DiodorusSic_Book11-126
Diodorus,0.000685871,DiodorusSic_Book11-127
Diodorus,0.000685871,DiodorusSic_Book11-128
Diodorus,0.000685871,DiodorusSic_Book11-129
Diodorus,0.000685871,DiodorusSic_Book11-13
Diodorus,0.000685871,DiodorusSic_Book11-130
Diodorus,0.000685871,DiodorusSic_Book11-131
Diodorus,0.000685871,DiodorusSic_Book11-132
Diodorus,0.000685871,DiodorusSic_Book11-133
Diodorus,0.000685871,DiodorusSic_Book11-134
Diodorus,0.000685871,DiodorusSic_Book11-135
Diodorus,0.000685871,DiodorusSic_Book11-136
Diodorus,0.000685871,DiodorusSic_Book11-137
Diodorus,0.000685871,DiodorusSic_Book11-138
Diodorus,0.000685871,DiodorusSic_Book11-139
Diodorus,0.000685871,DiodorusSic_Book11-14
Diodorus,0.000685871,DiodorusSic_Book11-140
Diodorus,0.000685871,DiodorusSic_Book11-141
Diodorus,0.000685871,DiodorusSic_Book11-142
Diodorus,0.000685871,DiodorusSic_Book11-143
Diodorus,0.000685871,DiodorusSic_Book11-144
Diodorus,0.000685871,DiodorusSic_Book11-145
Diodorus,0.000685871,DiodorusSic_Book11-146
Diodorus,0.000685871,DiodorusSic_Book11-147
Diodorus,0.000685871,DiodorusSic_Book11-148
Diodorus,0.000685871,DiodorusSic_Book11-149
Diodorus,0.000685871,DiodorusSic_Book11-15
Diodorus,0.000685871,DiodorusSic_Book11-150
Diodorus,0.000685871,DiodorusSic_Book11-151
Diodorus,0.000685871,DiodorusSic_Book11-152
Diodorus,0.000685871,DiodorusSic_Book11-153
Diodorus,0.000685871,DiodorusSic_Book11-154
Diodorus,0.000685871,DiodorusSic_Book11-155
Diodorus,0.000685871,DiodorusSic_Book11-156
Diodorus,0.000685871,DiodorusSic_Book11-157
Diodorus,0.000685871,DiodorusSic_Book11-158
Diodorus,0.000685871,DiodorusSic_Book11-159
Diodorus,0.000685871,DiodorusSic_Book11-16
Diodorus,0.000685871,DiodorusSic_Book11-160
Diodorus,0.000685871,DiodorusSic_Book11-161
Diodorus,0.000685871,DiodorusSic_Book11-162
Diodorus,0.000685871,DiodorusSic_Book11-163
Diodorus,0.000685871,DiodorusSic_Book11-164
Diodorus,0.000685871,DiodorusSic_Book11-165
Diodorus,0.000685871,DiodorusSic_Book11-166
Diodorus,0.000685871,DiodorusSic_Book11-167
Diodorus,0.000685871,DiodorusSic_Book11-168
Diodorus,0.000685871,DiodorusSic_Book11-169
Diodorus,0.000685871,DiodorusSic_Book11-17
Diodorus,0.000685871,DiodorusSic_Book11-170
Diodorus,0.000685871,DiodorusSic_Book11-171
Diodorus,0.000685871,DiodorusSic_Book11-172
Diodorus,0.000685871,DiodorusSic_Book11-173
Diodorus,0.000685871,DiodorusSic_Book11-174
Diodorus,0.000685871,DiodorusSic_Book11-175
Diodorus,0.000685871,DiodorusSic_Book11-176
Diodorus,0.000685871,DiodorusSic_Book11-177
Diodorus,0.000685871,DiodorusSic_Book11-178
Diodorus,0.000685871,DiodorusSic_Book11-179
Diodorus,0.000685871,DiodorusSic_Book11-18
Diodorus,0.000685871,DiodorusSic_Book11-180
Diodorus,0.000685871,DiodorusSic_Book11-181
Diodorus,0.000685871,DiodorusSic_Book11-182
Diodorus,0.000685871,DiodorusSic_Book11-183
Diodorus,0.000685871,DiodorusSic_Book11-184
Diodorus,0.000685871,DiodorusSic_Book11-185
Diodorus,0.000685871,DiodorusSic_Book11-186
Diodorus,0.000685871,DiodorusSic_Book11-187
Diodorus,0.000685871,DiodorusSic_Book11-188
Diodorus,0.000685871,DiodorusSic_Book11-189
Diodorus,0.000685871,DiodorusSic_Book11-19
Diodorus,0.000685871,DiodorusSic_Book11-190
Diodorus,0.000685871,DiodorusSic_Book11-191
Diodorus,0.000685871,DiodorusSic_Book11-192
Diodorus,0.000685871,DiodorusSic_Book11-193
Diodorus,0.000685871,DiodorusSic_Book11-194
Diodorus,0.000685871,DiodorusSic_Book11-195
Diodorus,0.000685871,DiodorusSic_Book11-196
Diodorus,0.000685871,DiodorusSic_Book11-197
Diodorus,0.000685871,DiodorusSic_Book11-198
Diodorus,0.000685871,DiodorusSic_Book11-199
Diodorus,0.000685871,DiodorusSic_Book11-2
Diodorus,0.000685871,DiodorusSic_Book11-20
Diodorus,0.000685871,DiodorusSic_Book11-200
Diodorus,0.000685871,DiodorusSic_Book11-201
Diodorus,0.000685871,DiodorusSic_Book11-202
Diodorus,0.000685871,DiodorusSic_Book11-203
Diodorus,0.000685871,DiodorusSic_Book11-204
Diodorus,0.000685871,DiodorusSic_Book11-205
Diodorus,0.000685871,DiodorusSic_Book11-206
Diodorus,0.000685871,DiodorusSic_Book11-207
Diodorus,0.000685871,DiodorusSic_Book11-208
Diodorus,0.000685871,DiodorusSic_Book11-209
